text,x,y
"alright yall i hope our melanin prevails but just in case i took some precautions i had some food &amp; water delivered. ????? ive had my masks for a month and may have to open soon! 
?? #b1 #fba 

#coronavirususa #covid https://t.co/ctqmdgdgtd",6.3719945,3.139477
when your usual grocery shopping @woolworths turns into a toilet paper fight in the supermarket aisle. yikes. #toiletpaperpanic for the #coronavirus has taken a whole new level. https://t.co/akj283i20c,6.081384,0.24688095
"coronavirus panic spreads: costco is pulling free samples over covid-19 - usa today

coronavirus panic spreads: costco is pulling free samples over covid-19  usa today

'it's pandemonium': virus panic-buying hits los angeles  yahoo news

how costco is ha https://t.co/mytdpdomei",6.0752482,5.1180024
"while you are stocking up, waiting for quarantine, if you can don't forget to donate  food, water, and toiletries to your local food banks to help others without the means to stock up. get ahead of it before it becomes a crisis. #covid19 #coronavirus",6.0638175,3.5139058
"#coronavirus is ""an exposure of all the holes in the social safety net,"" says nelp government affairs director judy conti

#ui #unemployment #paidleaveforall
https://t.co/brcy9ijwsv",5.4737406,4.5879307
"two important phone numbers nyers should know. if you have no doctor or insurance and think you may be sick and need to be tested for #coronavirus, call the state's helpline: 1-888-364-3065. to report price gouging, call the div. of consumer protection at 1-800-697-1220.",5.7333574,5.6538935
"tip for all pro wrestlers to help combat the #coronavirus...be more like @zoelucaspro and bring hand sanitizer to your matches as a precaution

#evewrestling @prowrestlingeve https://t.co/suyusapm7j",5.294563,4.1170425
"is this effective?
is it necessary?
or is it just optics?
scare tactics?
for the american consumer?
for us msm to use?
if optics, what is the intended effect?
fear?
crash us market-&gt;panic-&gt;elect biden

#qanon #coronavirus https://t.co/h48zmfuame",5.6038446,4.8164625
"imho russia's rug pull on oil prices is designed to end the dollar as the global reserve currency. how? corp debt collapse, led by high yield and fracking, compounded by covid-19, will mean fed and us govt respond with #mmt. ciao dollar. alt is collapse. got #gold or #silver yet?",8.418766,5.7794485
so not due to #brexit at all then &gt;&gt; supermarkets begin #foodrationing after wave of #coronavirus-fuelled panic buying https://t.co/akgkhxo0tw,6.0812716,2.332531
"remember, with all the media deflection stories about bog rolls, panic-buying, food shortages, covid-19, irish bridges etc etc.

we've still got brexit, austerity, poverty, a crashing economy &amp; the worst uk govt in living memory. 

all depressing stuff &amp; it aint gonna end well.",9.078713,3.6119976
"fellow uni instructors! covid-19 f2f class cancelations are  inconvenient! but remember you're salaried employees. maybe call/email hr or your union &amp; demand to know how hourly workers (clerical, food-service, custodial, etc) will be  compensated during campus closures?",8.679943,3.502141
"@howroute its not even over food... what the actual heck?? i have news for these people ... 

you need food and water before you need the paper to wipe your a$$. just sayin.. ? 

#covid19 #covid_19 #coronavirus #corona #virus #panic",5.860018,2.4282694
"1/25 part 1 - why does soap work so well on the sars-cov-2, the coronavirus and indeed most viruses? because it is a self-assembled nanoparticle in which the weakest link is the lipid (fatty) bilayer. a two part thread about soap, viruses and supramolecular chemistry #covid19 https://t.co/ocwqpjo5ht",4.67414,4.0379834
"thread: please stop shaming folks who stock up on food and personal care products ahead of #coronavirus #covid19. #trump made it clear that he doesnt care and wont help, so theyre protecting their families their way. its a tiny bit of mastery and control in terrifying times. https://t.co/12emup9mta",7.6996965,4.8923416
"for those thinking #seniors #disabled &amp; #vets shouldnt be included in any @realdonaldtrump aid package because of #covid_19 #coronavirus check prices on antibacterial soaps, disinfectant safer transportation other than crowded city busses list goes on @senstabenow @rashidatlaib",6.4191666,4.0340786
"so far 36 pennsylvanians have reached out to my office to report inflated prices on everything from disinfectant spray to liquid soap.
 
price gouging like this isnt just wrong, its illegal. keep your emails coming: pricegouging@attorneygeneral.gov #coronavirus",5.4207764,5.1840687
"global stock markets continued their bear run as #dowjones and s&amp;p500 plunged as they opened on monday. plunge was largely on the back of the 30% overnight slump in #crudeoil prices, along with the persistent concerns over the impact of #coronavirus on the global #economy.",8.309702,5.723401
scammers are taking advantage of fears surrounding the #coronavirus. here are some tips to help you keep scammers at bay: https://t.co/yt892bgnbu #covid2019 https://t.co/kmilu80h6h,5.835901,5.1887574
"are you doing business in international markets? this @exportdevcanada webinar will show you how to navigate todays exporting challenges and rising commodity prices due to the covid-19 virus.

https://t.co/pdbulonaei",7.3624997,5.624968
"for those in gig economy who only earn if ppl are going out, we can immediately process refunds for 2019 earned income tax credit or child tax credit - or they can borrow against 2020 credits. that cash can help make ends meet until normal consumer behavior returns #coronavirus",8.172768,4.4352956
"i have instructed that insurance companies make covid-19 testing free. this important step will help ensure cost barriers do not stand in the way of people getting tested. 

read more: https://t.co/0vrddfnpay https://t.co/9jdavzw7ai",6.3968167,6.0421762
the oil prices dipping has absolutely nothing to do with #covid2019 it has everything to do with #opec talks collapsing and saudi feuding with russia. celebrate and calm the hell down.. weirdos.,8.332601,5.8370447
"global stocks plummeted today due to fear surrounding #covid2019 and falling oil prices, which saw the biggest one-day drop since the 1991 gulf war.

let's look at how the major stock indices have been reacting to the news, based on their closing values. https://t.co/fv7iehqado",8.36808,5.8146677
"the beginning of a  global recession!

#coronavirus damaging health crisis?
#oil prices falling down?
us stocks falling down?
7% drop this morning &amp; trading halt?
#migration crisis at the eu borders 
#housingcrisis &amp; skyrocketing rents. tenants are losing 50% of income?
#q*",7.959516,5.5703015
"@7newssydney @scottmorrisonmp some factors have bought on the recession 1)ignoring per-capita recession, 2)wage growth stagnant 3)consumer debt levels are through the roof 4) casualized work! these changes in the economy are driven by government not #co",9.043449,4.168583
"cuomo press conference...
new york is releasing new brand of state made had sanitizer prices from $0.80¢ - $6 a gallon!
#coronavirusupdates #corona #coronavirusoutbreak #virus #covid2019 #covid19 #nyc

https://t.co/9jhelbwelz",5.019879,4.880297
"ignore online offers for #vaccinations. there currently are no vaccines, pills, potions, lotions, lozenges or other prescription or over-the-counter products available to treat or cure #coronavirus disease 2019 (covid-19)  online or in stores.

@ftc tips: https://t.co/sqbf4lhb8h https://t.co/dx5po1kdqi",5.718683,4.933445
"if you are lucky enough to be sitting at home with enough food to get you through a period of self-isolation, please consider donating to the @trusselltrust to help those who couldn't stock up even if they wanted to. #trusselltrust #foodbanks #coronavirus #covid19",10.479643,2.1028764
"@thehill americans need to take it upon themselves to help avoid contracting covid-19.
prep to self quarantine for 2 wks.
stop unnecessary travel or crowd gatherings.
talk to your employer about how to proceed w/o harm to your career.
plan for sch",9.492772,4.0594525
"@realdonaldtrump separate table of us corna virus statistics.
 very high stats of corona virus.
 us government's inability to control corona virus.
 high price disinfectant gel in usa high price of mask in usa. 
food prices are rising day by day",5.398503,2.7180328
"#toiletpaper shortage ??
don't believe everything you see on tv! my costco just now....,.#coronavirus https://t.co/fdvikzgfwd",6.0482273,0.19959995
"come on guys, please be like bob!

#covid2019 #panicbuying #coronavirus https://t.co/kmly3znynr",5.433199,3.3671448
"if you have booked a ticket to an event as part of a package holiday you will be offered an alternative or a refund by your travel provider, if it has been cancelled due to #coronavirus.

check abta's consumer q&amp;a at: https://t.co/oub4mnmrna

#covid19 https://t.co/kmhjehs2jh",6.779434,5.974146
"breaking: new jersey officials urge residents to stock up for a two week #coronavirus quarantine ""just in case""

#covid19 
https://t.co/fc8imq7tar",5.856442,3.8248827
"4- russia lng will also suffer. the irony is, spot lng prices were already at a record low because of the #coronavirus and the declaration of force majeure by chinese companies. 

contracted lng became the only way to make money until oil prices collapsed. it is a big hit https://t.co/ksfq4uzqan",7.4951415,5.6074667
#breakingnews #terrorists have watched closely as the #coronavirus spins its web. they now know what americans value most. wiping their ass! citizens rush to buy toilet paper but neglect to stock up on food! terrorists are holding our #toiletpaper  factories hostage! film at 11! https://t.co/7mayftgxja,5.669903,4.3450384
"""as the novel #coronavirus (or #covid19) continues to spread worldwide, its impact on international business operations, supply chains, travel, commodity prices, consumer confidence and business forecasts is becoming increasingly acute.""
#blgpublication https://t.co/bdiedmnksk",7.011416,5.4449353
"lower #oil prices, lower #interestrate, and some sort of fiscal #stimulus is great, but the consumer isn't the problem. the problem is fear of #coronavirus and fear of being quarantined for 14 days. that's why people stopped traveling. not because of interest rates or taxes.",6.855946,5.01627
consumers have increased their online shopping due to coronavirus. https://t.co/5myfz3rad0 #retail #ecommerce #study #coronavirus https://t.co/dz3h6zrwut,6.491608,4.809545
"for those self indulging in thoughts of food, medicine and essential household goods stock piling. like people on universal credit be stock piling ffs!!! #coronavirus",6.0342565,3.164862
"ok if #covid2019 is nothing to panic about why is italy imposing the biggest restrictions on the civilian population since ww2? 
how will the supermarkets be able to provide food if all the workers are told to stay at home? 
same with any other bussiness.",9.12596,2.958089
"trump said people must ""be vigilant,"" then concluded, ""be calm. it's really working out. and: lot of good things are going to happen. the consumer is ready. the consumer is so powerful in our country with what we've done with tax cuts and regulation cuts and all of those things.""",8.296278,4.481999
"the top food items to stock up on in case you are quarantined 

#coronavirus home stays are on peoples minds. here are ten foods for stocking a pantry to support physical and mental health.

https://t.co/jrvxrib57l",4.6702275,2.8435411
"hi all! please support your local chinese restaurant &amp; order some delicious food from them ? they are really struggling with the #covid2019 panic, many are having to let staff go.

my favs in #manchester are @sweetmandarin &amp; @blueeyedpandam4
thank you! ??

#iwilleatwithyou https://t.co/jpdhxqmbtv",8.78829,2.711278
report any and all instances of price gouging or other covid-19 scams to the attorney generals consumer protection hotline at 800-392-8222 or online at https://t.co/yb2nrtwlfg. #coronavirus https://t.co/h3qqmm3bbl,6.016807,5.513354
"russia by breaking rank from opec+ signalled an intent to take down their nemesis: american oil and gas industry.

#uselections2020 #covid2019 #oilwar are steeped in markets least favorite thing: uncertainty

but this time they won't succeed

low oil prices won't last long #oott https://t.co/twkyxrdfow",8.295518,5.770718
"?80% of #retail experts talk about a significant decrease in #store traffic due to #coronavirus ??
??check our article???

https://t.co/eobzo0wous",6.4984684,4.8729434
met with members of our distributive trade today to examine their preparation   for the impact of covid 19. based on reports our key manufacturers and importers have at least 2 to 3 mths of stock. we therefore do not expect that there will be any shortage in critical food items. https://t.co/jtfnebwuvy,9.915798,4.2325087
"say you need to stock up on #food for a couple of weeks, here's tips on what to get and how to properly store those #perishable items. #coronavirus https://t.co/gnlgwqxpjl https://t.co/cckva2ktq4",4.7852983,2.639033
"my genuine concern around #covid2019 are folks who may have to isolate, but work low wage/hourly pay jobs - folks who are barely getting by, who dont get paid sick days. folks who cant stock up on weeks worth of food. folks who cant not work. 

the working poor will suffer most",8.784045,3.4125252
"we could have as many as 60% of the world's population infected with the #coronavirus by the end of the year.

your prayers are useless, only science will come to the rescue. if this does happen, our world will not recover for years. stock up your can food people. #doomsdaybunker",5.8429356,4.1676984
"important update! our ceo brian beaulieu has broadened the scope of his covid-19 webinar. expect more on the oil prices drop, stock market developments, retail sales, and unfolding situations in china and italy. learn more and register: https://t.co/3mukagew4p https://t.co/uouyufjryw",8.532406,5.6303854
".@target taking #coronavirus #covid19 seriously. stores are adding hours and staff to clean more rigorously, stopping food samples, bolstering order pick up and drive up, encouraging employees to stay home, adding more stock, and limiting # of items in purchases.

@wsyx6 https://t.co/p1ejdpvnyy",6.2116494,3.8498182
"cdc: older folks should stock up on food, stay home amid #coronavirus - business insider  wow! https://t.co/ygcpte7f1l",5.1700964,3.4451182
"if 1,000,000 get infected with a 2% death rate for the #coronavirus then 20,000 will die in usa.

if you dont have mo mney to stock up food, then find a fishing hole and supplies to hunt and fish!",5.8349476,4.2647066
"every shop, chemist or retailer of any sort who raises prices during #coronavirus should be boycotted when it's all over. the greed in this country starts with those who've governed us for almost 100 years. ff and fg have made many of us lose our compassion and decency.",6.2841654,4.871392
"no, witch hazel won't help protect you from #coronavirus ...even in a diy hand sanitizer: https://t.co/dyyshjhrgm @ameshaa",5.1548758,3.9562654
"@thehill donaldtrump with lies or with rumor
never recognized his sense of humor
..so he sells us his balm
..just tells us to stay calm
and blames it all on the consumer. 

#covid19 #trumpdemic #coronavirus",7.502988,5.0326533
"@realdonaldtrump .-.
the balm of coronavirus

#donaldtrump with lies or with rumor
never recognized his sense of humor
..so he sells us his balm
..tells us just to stay calm
and blames it all on the consumer. #covid19 #trumpdemic #coronaviru",7.308764,4.950576
q1 #earnings are expected to be heavily impacted by #coronavirus with steep declines in commodity prices and analysts cutting estimates. @tdhillon33 and @daveaurelio analyse the data: https://t.co/1uhwftlx6u #trusteddata #refinitiv  #covid19 https://t.co/afvlnl1zia,6.9614234,5.396873
"these are some of the suggestions to slow/stop #covid2019
1. work remotely from home 
2. online school/ lectures
 3.keep updated on the hse/dept of health website 
4. order shopping online for delivery all  need broadband #remoteworking #broadband #rural",9.587808,4.9663734
retailers gouging consumer on clorox spray wipes and sanitizers. what use to be under $5 is now $29 or more even if its available! gee bet they make it all in china. ????? #sanitizer #coronavirus,5.0063634,4.8884187
"stay vigilant, stay safe. as we adapt to covid-19, know that our office is here for you. we can answer questions about scams, sick time, and fraud.

consumer hotline: 617-727-8400
health care hotline: 1-888-830-6277
fair labor hotline: 617-727-3465 https://t.co/gjnwcmty1u",6.096795,5.5782557
"even without the #coronavirus, suspension or elimination of the #payrolltax is the quickest and most sensible means of enhancing consumer liquidity for working americans, especially part-time and low wage workers.

once again, @realdonaldtrump is doing exactly the right thing.",6.854744,3.714351
"this is the advice from national us health experts for over 60's on avoiding #coronavirus

""cdc: americans over 60 should stock up on food and medications and avoid venturing out as the coronavirus spreads""

uk gov: wash your hands &amp; carry on

#covid_19 

https://t.co/qkoljtopdr",5.5786443,3.7997108
"the awful impacts of the #coronavirus are continuing to be felt around the world. 
these events in china are also affecting the uk container industry. but what does this mean for you as a consumer, looking to buy #shippingcontainers?
find out more: https://t.co/ir3yebofbs
#mrbox https://t.co/wlhwiavhib",6.7637677,5.1919413
wash your hands more often for 20 seconds with soap and water. or use hand sanitiser.,4.6313357,3.9402182
"coronavirus, covid-19, oil price drop will lead to us recession - business insider https://t.co/a7hsqwqdoe",7.6573358,5.834257
"my german colleagues have confirmed that hamsterkäufe, as in how a hamster stuffs its cheeks with food, is indeed the german term for panic buying. this is the cute news i need today.
#hamsterkäufe #covid2019 #covid19ireland #coronavirusireland #panicbuyingireland #panicbuying https://t.co/b5pwfu9tvz",10.119632,0.82487255
"the government must provide hand sanitizer in all public buildings and transport hubs, as a matter of the utmost urgency.

the state must penalize any business trying to profit from this crisis by rising prices for essential items like hand sanitizer. #covid19ireland #covid2019 https://t.co/tzyj2kwjp7",4.898476,4.758924
what you need if quarantined at home | #coronavirus - consumer reports https://t.co/fqpmjiblfd,5.305685,3.5691414
"see the new @fujifilmx_us x-t4 and x100v at roberts! join us on saturday march 14th at roberts downtown location from 10am to 5pm.

make sure to stop in and register for a free mystery giveaway! https://t.co/kua79uarxv https://t.co/p6etft5u7f",6.6975346,5.5671673
"spiking prices during a state of emergency is a crime, report it: https://t.co/k4zt898lql 

#coronavirus #covid2019 https://t.co/3fgvyt93w7",5.5755596,5.169918
"besides canned food and toilet paper.

https://t.co/oo3uhc9hxo
$kr $tgt $wmt $amzn $cost $cvs #investing #stocks #coronavirus #covid19 #market #economy",5.554066,2.7374258
"@nileshshah68 i have summarized the most important points from the paper in this thread:
https://t.co/dtzg4vg8vm",8.430198,4.2246313
@hlaurora63 my husband asked me today if we should stock up on food and supplies ? #coronavirus,4.620599,2.6940527
missouri ag sues televangelist for advertising silver solution as a cure for coronavirus https://t.co/wuffral0nw https://t.co/q5kaojafct,5.832629,4.944801
"president trump: ""it will go away.  just stay calm.  it will go away."" https://t.co/j8af2zb8v0",8.297358,4.486277
you actually need to stock pile on food first before you can actually use all that toilet paper.   but you have you eat it before you need to use the toilet.  only then will you have the need for toilet paper #toiletpaper #covid19 #coronavirus #idiots,5.8844576,-0.34261507
"we (@hamiltonpoverty) are calling on canadian federal government ?? to provide #basicincome 'well-being and stimulus payments' during current covid-19 situation. a basic income (even interim) could help keep people healthy, then revive consumer confidence and spending. #cdnpoli https://t.co/wrmkwlhjku",9.203713,3.9195173
"solid advice for seniors, their family members &amp; those of who have #complexhealth care needs.@cdc: older #americans should consider stocking up on food, medications &amp; avoid venturing out as #coronavirus spreads https://t.co/yidkel9m1a #covid19canada #coronaviruscanada #bcseniors",5.7260375,3.6426497
"local media in naples reported that seria a football players callejon, llorente and ospinta were among the people queuing outside a supermarket last night to stock up on food during the #coronavirus emergency.",5.5597906,2.6901238
"reminder: a state of emergency is in effect statewide due to #coronavirus.

californians are protected from illegal price gouging on housing, gas, food, and other essential supplies. https://t.co/nw5fhsodtj https://t.co/r8wh8msped",5.564052,5.133324
"just thinking if we have to close schools, how many children may lose access to main source of meals.  and what will happen to demand at food banks. #trusselltrust #coronavirus #foodbanks #poverty #uk https://t.co/mw71rzc6z1",10.487596,1.8783851
"@realdonaldtrump what can you do about #covid2019? 

- dont go out sick
- wash hands
- call ahead, wear mask to doctor
- stock up food, medicines
- work from home
- keep social distances
- hand sanitizer after surfaces
- avoid touching",4.987239,4.1442537
"as i appear to be absolutely no good at stock piling/panic buying  food goods and toilet rolls for the #coronavirus i'm moving on to something i'm good at buying ?

tin whistles and apple watch bands.

better than toilet rolls ? https://t.co/udi4pyuldh",5.137839,2.3015544
"pretty good chance that your waiter/waitress, grocery/department store clerk, or uber/taxi driver, doesn't have health insurance or paid sick leave. 

also a pretty good chance that these people come in contact with #covid19 #coronavirus 

still think bernie's radical? good luck.",7.2061224,3.8834863
"i dont understand the run on toilet paper. 

you would think that youd stock up on food first. without food, you wont need the toilet paper. #coronavirus",5.782961,-0.31062064
so the govt is trying to boost spending to save the economy but what about the several retail staff i witnessed yesterday - in the one store - continuously coughing over merchandise?? and elsewhere?? #bigw #eastgardens   #coronavirus #stimulus #auspol,8.538129,2.5782993
"we've been lied to about covid-19. find out why you need to stock up on food &amp; water before all cities are quarantined.
https://t.co/rtbhfraxtu
coronavirus chiropractor naturopath stocks gold silver blackpink bts  coach trainer librarian twice yibo xiaozhan animalcrossing trucker https://t.co/akunbna8js",6.3651805,3.7095864
"metro manila lock down will cause shortage of food supply, hoarding of stuffs, less fortunate families will not be able to stock up, and a lot more. oh lord, we pray for covid-19 to end before everything boils down to worst.",8.889021,2.894289
"hey guysss! we have a very important message to all our friends, family &amp; viewers out there. be aware of corona virus and follow these procedures to help keep you and your family safe.

#aadyasitara? #aadya #sitara #coronavírus #coronaaleart #covid_19 #staysafe #sanitizer #covid https://t.co/phwgsygy06",5.5506988,4.1104527
"low gas prices could hurt economy as #toronto drivers take advantage:

https://t.co/jqohbi6b9j @torontodotcom #covid19 #covid2019 #coronaviruscanada",7.7098875,6.144415
"due to the #coronavirus my 80 year old grandma has been going through her cabinets to round up supplies...

so here i present to you a bottle of hydrogen peroxide that expired in july 2001 https://t.co/mtmkidydnn",5.102237,3.455431
how the fuck am i safer from #coronavirus on a train or at a gas station or at a grocery store or gym than at #sxsw or a ballgame or a amusement park? either put guys with gas masks and guns on the streets or let us live our lives,6.322956,3.3655837
one of the beautiful things about working at home and having a strictly online small business? covid-19 isnt transmittable through email. so keep shopping!  https://t.co/qjkucawgc2,9.491283,4.9458475
"with all of the public school, college and university closures due to #coronavirus, a lot of food insecure students will go hungry. as you stock your pantry, consider donating to your local food pantry to help feed a kid. #coronavirusupdate",10.526418,1.8185045
#venezuela will be latin america's most affected country by the twin crises of #coronavirus and collapsing oil prices. see what's coming: https://t.co/6d7ll9rcut https://t.co/guzi0dwxga,7.0379963,5.4925413
"the #coronavirus crisis will speed up the technological revolution as schools, health services, shopping and work will go online at an even faster pace than before. see ""the robots are coming"": https://t.co/2bkmjcaya5 
@vintagebooks https://t.co/ejyz9rabtu",6.1847606,4.840095
"the #coronavirus crisis will speed up the technological revolution as schools, health services, shopping and work will go online at an even faster pace than before. see ""the robots are coming"", page 234: https://t.co/yck5zmfa4j @vintagebooks",6.259631,4.7979407
"ok so i know people are scared &amp; stock piling water, meds, food &amp; toilet paper but what about cat food? 

like guys my cat is so picky he only eats the @rachaelray brand should i start buying out all the 

cat food!? ?????? #coronavirus",5.824532,2.0989704
"and what food products should i stock up on? canned meats? have many veggies &amp; fruit already. more noodles &amp; rice? wish i felt safe about fresh stuff but i don't. maybe more dried fruit.

what else?

#coronavirus stockpile thoughts...",4.72116,2.6471722
"#covid_19 fallout : are all these ghost flights going to swap cabin payload for cargo payload, as self isolated individuals take to online shopping globally as a pastime while waiting for lockdowns to end ?",7.061551,6.235805
"avoid the panic and empty shelves at the stores and stock up now with amazon pantry items! 
https://t.co/1gwrwnuc0x   

#ad #coronavirus #prepper #beprepared 
#corona #coronavirusoutbreak #soldout
#coronavid19  #wuhanvirus #coronavirususa 
#covid19 #wuhancoronavirus #toiletpaper",6.4777207,1.8315089
"while #trump and his admin are worried about the stock market, oil companies, cruise, and hotel industry, the people of this nation just want to know they can be tested if they become ill and if they can go to work to earn next month's rent or food for the family. #coronavirus",6.2686143,6.0330186
shares in turkish supermarket chain migros surged as much as 15% today on expectations of stocking up after the nation's first coronavirus case was confirmed. https://t.co/8301rklpj2,6.8258452,5.338403
"ok, so #covid2019 made flights cheap, emptied busy tourist destinations in europe, panicked the hell out of the stock markets so now #covid19uk when will you lower the house prices?",7.3422465,6.429126
"former supermarket boss says that staff self-isolating due to possible #covid_19 symptoms will affect the abiity of stores to re-stock shelves more than panic-buying.
he's right, but its not ""either-or"" - its *both*.
plus, its also *shortage of delivery drivers &amp; packers* too... https://t.co/rahzrycemp",8.867382,3.2772136
"a fight broke out in an australian supermarket over the #toiletpapercrisis, which led to police having to intervene. 

a woman asked for just one packet from a second woman with at least four large packets in her cart.

https://t.co/j5kfdofagn",6.5298505,-0.37826708
"@thejagmeetsingh please ask the government about food security for coming months in case of crisis due to #coronavirus? 

most of the canadian r afraid and buying stock for the coming months. its hard to find lysol wipes, hand sanitizers, hand soaps",5.9044538,2.91126
"trevor, an rd at #tcfd, shares helpful tips when it comes to stocking up on food during a #coronavirus quarantine. stock your pantry as you always do &amp; aim for your diet to consist of protein, fat, carbs, fruits, &amp; veggies: https://t.co/claz9cyzsd. @michaelrosen27 #foodismedicine",4.7022676,2.8310595
"@sainsburys can you please make sure that in the midst of all the panic buying , hoarding and general insanity i have seen in your stores recently that you will save some stock for local food banks who have seen donations fall. we are all in this together",9.35084,1.8567433
"coronavirus and food: the latest

good piece by @marionnestle
 
https://t.co/xkrpnlipja

i'm curious. here's an informal poll for all:
if you are taking #covid infection precautions &amp; are stockpiling foods &amp; other essential supplies right now, how many weeks are you planning for?",5.409463,3.6451247
"doesnt matter whats going on, marthas on her grind https://t.co/fpj5pdt8dh",7.1878247,2.056371
